"mode","z_mm","phi_deg","ux","uy","uz","solution","linear_solver","tolerance","mesh_elements","dofs","Fx_N","Fx_mN","Fx_mN_from_N","status","reproducibility","mesh_validation"
"ON","120.00000000","0.00000000","0.500000000000","0.866025403784","-0.00000000000","sol1","pardiso","stol=1e-6","60908","NA","-0.000812050266451","-0.812050266451","-0.812050266451","SUCCESS","UNKNOWN","UNKNOWN"
"ON","120.00000000","45.00000000","0.500000000000","0.612372435696","-0.612372435696","sol2","pardiso","stol=1e-6","60908","NA","-0.000766444083286","-0.766444083286","-0.766444083286","SUCCESS","UNKNOWN","UNKNOWN"
"ON","120.00000000","90.00000000","0.500000000000","5.30287619362e-17","-0.866025403784","sol3","pardiso","stol=1e-6","60908","NA","-0.000747577711738","-0.747577711738","-0.747577711738","SUCCESS","UNKNOWN","UNKNOWN"
"ON","120.00000000","135.00000000","0.500000000000","-0.612372435696","-0.612372435696","sol4","pardiso","stol=1e-6","60908","NA","-0.000766506514746","-0.766506514746","-0.766506514746","SUCCESS","UNKNOWN","UNKNOWN"
"ON","120.00000000","180.00000000","0.500000000000","-0.866025403784","-1.06057523872e-16","sol5","pardiso","stol=1e-6","60908","NA","-0.000812139386783","-0.812139386783","-0.812139386783","SUCCESS","UNKNOWN","UNKNOWN"
"ON","120.00000000","225.00000000","0.500000000000","-0.612372435696","0.612372435696","sol6","pardiso","stol=1e-6","60908","NA","-0.000857741511360","-0.857741511360","-0.857741511360","SUCCESS","UNKNOWN","UNKNOWN"
"ON","120.00000000","270.00000000","0.500000000000","-1.59086285809e-16","0.866025403784","sol7","pardiso","stol=1e-6","60908","NA","-0.000876602652613","-0.876602652613","-0.876602652613","SUCCESS","UNKNOWN","UNKNOWN"
"ON","120.00000000","315.00000000","0.500000000000","0.612372435696","0.612372435696","sol8","pardiso","stol=1e-6","60908","NA","-0.000857677907541","-0.857677907541","-0.857677907541","SUCCESS","UNKNOWN","UNKNOWN"
"ON","120.00000000","360.00000000","0.500000000000","0.866025403784","2.12115047745e-16","sol9","pardiso","stol=1e-6","60908","NA","-0.000812050266347","-0.812050266347","-0.812050266347","SUCCESS","UNKNOWN","UNKNOWN"
"AIR","120.00000000","0.00000000","0.500000000000","0.866025403784","-0.00000000000","sol10","pardiso","stol=1e-6","60908","NA","-0.000780551466552","-0.780551466552","-0.780551466552","SUCCESS","UNKNOWN","UNKNOWN"
"ON","140.00000000","0.00000000","0.500000000000","0.866025403784","-0.00000000000","sol11","pardiso","stol=1e-6","60846","NA","-0.00128259125679","-1.28259125679","-1.28259125679","SUCCESS","UNKNOWN","UNKNOWN"
"ON","140.00000000","45.00000000","0.500000000000","0.612372435696","-0.612372435696","sol12","pardiso","stol=1e-6","60846","NA","-0.00125994951010","-1.25994951010","-1.25994951010","SUCCESS","UNKNOWN","UNKNOWN"
